Penulis,Komentar,Komentar_Bersih
@SinggihHarmanto,"ini meteor yg lebih besar menyusul ledakan dirumah rumah jatim dan jabar, yg lebih besar lagi sedang menuju kemari bro",ini meteor yg lebih besar menyusul ledakan dirumah rumah jatim dan jabar yg lebih besar lagi sedang menuju kemari bro
@shiryuuasuka4863,Meteorit nya kenapa jatuh di Cirebon  seharusnya di gedung DPR baru pas sasaran 😔,meteorit nya kenapa jatuh di cirebon seharusnya di gedung dpr baru pas sasaran
@rezaaprianto5979,berharap jatuh nya di kantor DPR 🫠,berharap jatuh nya di kantor dpr
@yosiaandika2000,Yg nemu batunya jgn sampe pemerintah tau😅,yg nemu batunya jgn sampe pemerintah tau
@bimoli6274,"Sudah adakah Detektor / kamera cctv / penangkap frekwensi benda terbang mencurigakan di atas langit Negara Indonesia yang di pantau 24 jam. Kenapa tidak ada informasi tentang deteksi awal benda tersebut, sehingga warga bisa waspada?? Mestinya dengan mata telanjang saja sudah bisa dilihat berapa jauh benda itu bersinar dan melayang pasti akan lebih mudah detektor mendeteksi lebih dini sebelum dilihat mata manusia. Kenapa setelah kejadian baru dianalisis dan disimpulkan. (Siapa yg bertanggung jawab...sang Penciptakah)",sudah adakah detektor kamera cctv penangkap frekwensi benda terbang mencurigakan di atas langit negara indonesia yang di pantau 24 jam kenapa tidak ada informasi tentang deteksi awal benda tersebut sehingga warga bisa waspada mestinya dengan mata telanjang saja sudah bisa dilihat berapa jauh benda itu bersinar dan melayang pasti akan lebih mudah detektor mendeteksi lebih dini sebelum dilihat mata manusia kenapa setelah kejadian baru dianalisis dan disimpulkan siapa yg bertanggung jawabsang penciptakah
@samsulbrandley1562,Kenapa meteor gak jatuh ke yahudi Israel aja,kenapa meteor gak jatuh ke yahudi israel aja
@ahmadtuk329,Guna bmkg apa. Ko ga ada peringatan gitu,guna bmkg apa ko ga ada peringatan gitu
@masyudhi7997,"Kurang terang kalau meteor. 
Kyknya roket",kurang terang kalau meteor kyknya roket
@YukTutorBang,Pasti orang dulu nyebut nya itu banaspati 😂,pasti orang dulu nyebut nya itu banaspati
@ismetazka5183,Wahhh kayanya ada warga saiyan dri planet vegeta😮😮😂,wahhh kayanya ada warga saiyan dri planet vegeta
@shunsuhartono247,Oh itu banaspati..,oh itu banaspati
@MaeMunahgggggfffffgoooggggpgre,😭😭😭😭😭😭🤕🤕🤕🤕🤕🤕,
@telapakpetirjawatimur,Apa bangsa saiyah lagi turun,apa bangsa saiyah lagi turun
@SyechkonoSyechkene,itu rudah israel . bagus israel .. ayo geger dengan indonesia ..  israel ❤❤❤,itu rudah israel bagus israel ayo geger dengan indonesia israel
@LabibSyamlanSyamlan,"Sampe gak ada kesabaran, Indonesia selalu korupsi, sampe kiamatpun di korupsi",sampe gak ada kesabaran indonesia selalu korupsi sampe kiamatpun di korupsi
@maryatibayu,Waduh bahaya nih,waduh bahaya nih
@untung-lo7di,kalau hal2 seperti itu dan sudah disaksikan rakyat tidak usah disembunyikan....selidiki apakah meteor atau sisa puing satelit atau wahana antariksa....jangan suka sembunyikan kebenaran,kalau hal2 seperti itu dan sudah disaksikan rakyat tidak usah disembunyikanselidiki apakah meteor atau sisa puing satelit atau wahana antariksajangan suka sembunyikan kebenaran
@rahmanbsr8345,Mirip seperti rudal ?,mirip seperti rudal
@EGOis-30,"Ini bukti BRIN tidak dapat mendeteksi langit angkasa kita, infonya saat ada video viral dibandingkan dengan info yang harusnya kita terima dari BRIN, bayangkan jika meteor itu sampai menghantam daratan, dan tidak dapat terdeteksi",ini bukti brin tidak dapat mendeteksi langit angkasa kita infonya saat ada video viral dibandingkan dengan info yang harusnya kita terima dari brin bayangkan jika meteor itu sampai menghantam daratan dan tidak dapat terdeteksi
@tangxuanhannah,Untuk pemburu batu akik ，batu meteor jatuh pasti akan di jadikan duit  bagaikan rezeki nomplok untuk mereka ，sebab batu meteor kan mahal harga nya lebih mahal dari batu kecubung,untuk pemburu batu akik batu meteor jatuh pasti akan di jadikan duit bagaikan rezeki nomplok untuk mereka sebab batu meteor kan mahal harga nya lebih mahal dari batu kecubung
@rockyracat,Itu probenya 3iAtlas. Bersiap2 menyambut era alien 😂😂,itu probenya 3iatlas bersiap2 menyambut era alien
@engetriko1426,Klo bener jngn dikatakan bener warga indo kepoan bgt soalnya😂,klo bener jngn dikatakan bener warga indo kepoan bgt soalnya
@cinta_so,"Itu batu apa cuma api aja ya ,,",itu batu apa cuma api aja ya
@VeeloLo-e2m,"Bukankah itu seperti roket 
Apa mungkin ada yang menguji coba roket😅😅😅",bukankah itu seperti roket apa mungkin ada yang menguji coba roket
@nono_can3146,Cari tuh batunya bisa jadi duit.,cari tuh batunya bisa jadi duit
@teripleXXX,Rekaman CCTVana yg nyorot ke langit? Kwontollllll,rekaman cctvana yg nyorot ke langit kwontollllll
@CacaHandika-w9e,Bumi ini dh mau kiamat gayss 😢😢,bumi ini dh mau kiamat gayss
