Penulis,Komentar,Komentar_Bersih
@Hans_Petra7949,Aku pikir rudal balistik antar benua punya Indonesia sedang uji coba terbang 😂,aku pikir rudal balistik antar benua punya indonesia sedang uji coba terbang
@DRUMBANDMAYATAMUCHANNEL,Di belawa,di belawa
@bestmovieclip6873,ITU BENTUK PERINGATAN DARI TUHAN KEPADA MANUSIA YANG TELAH BANYAK MERUSAK SEGALANYA YANG ADA DI BUMI..,itu bentuk peringatan dari tuhan kepada manusia yang telah banyak merusak segalanya yang ada di bumi
@YeniTiara,Itu bukan meteor... Tpi itu udal iran atw irak nyasar ke cirebon..,itu bukan meteor tpi itu udal iran atw irak nyasar ke cirebon
@Pabuaranofficial,Ko ga ditembak pakai rudal,ko ga ditembak pakai rudal
@wkwkgaming,Sayang gak aku rekam padahal aku di cirebon,sayang gak aku rekam padahal aku di cirebon
@Rojajaya-s3r8s,Akan ada huru hara terbesar,akan ada huru hara terbesar
@arifmarzuki3601,harga meteorit bisa sampai milyaran,harga meteorit bisa sampai milyaran
@pramudyabaskara9457,Kok TDK jatuh dimarkasnya monyet2 hutan OPM dipapua yA,kok tdk jatuh dimarkasnya monyet2 hutan opm dipapua ya
@outmindorderC,Mungkin kah ini tahu bulat ? Yg di goreng dadakan ?,mungkin kah ini tahu bulat yg di goreng dadakan
@johnabdulaziz809,Kalo gak salah sekitar jam 7 malem nih . Asli gw kira apa soalnya cepat banget .,kalo gak salah sekitar jam 7 malem nih asli gw kira apa soalnya cepat banget
@ImamSafii-lj4cr,Gak lama lagi dukhon,gak lama lagi dukhon
@ImamPrasetyoPrasetyo-x5m,Israel..apa kim Jong un😂ini,israelapa kim jong unini
@QwErty145,"Yap, Sampah antariksa...",yap sampah antariksa
@benitomouselini4682,"brin gerombolan orang bodoh penyepong kekuasaan, brin bikin petasan aja gak becus, sok sosk bersuara.",brin gerombolan orang bodoh penyepong kekuasaan brin bikin petasan aja gak becus sok sosk bersuara
@Sciencemodern3,Kalo bener itu meteor pasti udah terkikis di lapisan atmosfer meteornya karena tekanan panas pas memasuki atmosfer gw rasa itu bekasan uji coba rudal,kalo bener itu meteor pasti udah terkikis di lapisan atmosfer meteornya karena tekanan panas pas memasuki atmosfer gw rasa itu bekasan uji coba rudal
@AsyfaHumaira-x4p,Rudal israel itu,rudal israel itu
@heruhaeruman8617,Gak mau di bilang kopong pertahanan udara😅,gak mau di bilang kopong pertahanan udara
@pipitfitriyani9954,dari Majalengka juga keliatan sama suami q,dari majalengka juga keliatan sama suami q
@fendika8882,Time travel,time travel
@mandung7820,Kalau menurut para ormas dan pemuja horeg itu namanya banas pati min,kalau menurut para ormas dan pemuja horeg itu namanya banas pati min
@wonkmelarat5921,Dijadikan pedang bagus tuh bahannya😮,dijadikan pedang bagus tuh bahannya
@DonBosco-t6k,"Mahal itu
Milyaran",mahal itu milyaran
@candatv6541,Itu rudal peringatan dari Israel,itu rudal peringatan dari israel
@prasetyowibowopampam3901,"Mungkin itu 
Rudal NUKLIR ICBM 
milik Israel 
yang menyerang Indonesia, 
tapi berhasil dicegat oleh 
GOLDEN DOME 
Sistem Pertahanan
milik Indonesia.

KEREN",mungkin itu rudal nuklir icbm milik israel yang menyerang indonesia tapi berhasil dicegat oleh golden dome sistem pertahanan milik indonesia keren
@pencarikebenaran1909,Bukti bumi itu bulat,bukti bumi itu bulat
@ginanjars6984,"allohuakbar, semalam saya dan istri sempat melihatnya di langit saat meluncur. sekitar jam 18:50 . oya posisi saya di cilacap jawa tengah",allohuakbar semalam saya dan istri sempat melihatnya di langit saat meluncur sekitar jam 1850 oya posisi saya di cilacap jawa tengah
@wi3-j4,Azab,azab
@biachfarm8469,Itu Megatron mendarat..,itu megatron mendarat
@maret7505,Jatuh di laut karena sudah kepanasan ingin segera seger,jatuh di laut karena sudah kepanasan ingin segera seger
@Bukpaketbuk,Halo bg. Saya orang cirebon asli memang meteor itu melintas di daerah ini cuman menurut warga sekitar melihan ada meteor kecil yg tak sengaja jatuh ke sawah milik seorang warga yg berada di Cirebon kota. Dan mohon maaf untuk sementara ceritanya segitu aja bg makasih good bye😅😅😅😅,halo bg saya orang cirebon asli memang meteor itu melintas di daerah ini cuman menurut warga sekitar melihan ada meteor kecil yg tak sengaja jatuh ke sawah milik seorang warga yg berada di cirebon kota dan mohon maaf untuk sementara ceritanya segitu aja bg makasih good bye
@mohammadfaqih8152,kedengeran smpe Brebes,kedengeran smpe brebes
@Mas_Echo420,Wah batunya jadi rebutan itu😂😂😂,wah batunya jadi rebutan itu
@mienkasmini4077,Jgn2 roket israel 😂,jgn2 roket israel
@cekingmerova,Nasa kok ga tau ya? Fix nasa itu hoax,nasa kok ga tau ya fix nasa itu hoax
@FajarBandung,"Apa yg ada di langit dan apa yg ada di bumi kepunyaan, Allah dan Allah tidak merasa berat untuk memelihara keduanya itu,",apa yg ada di langit dan apa yg ada di bumi kepunyaan allah dan allah tidak merasa berat untuk memelihara keduanya itu
@AngRid-cp4jl,Itu bangsa saiya,itu bangsa saiya
@bonysusanto8772,itu habib  mau pulang habis cek stock rantai emasnya,itu habib mau pulang habis cek stock rantai emasnya
@grumpycat16,denger2 batuan meteor itu harganya lumayan mahal😮,denger2 batuan meteor itu harganya lumayan mahal
@HermanPutra-r6c,"Semua, presiden, salah, mencari guru, ya berguru, dgn, saeton",semua presiden salah mencari guru ya berguru dgn saeton
@menderitaselalu5133,*mrteor apa rudal nyasar*,mrteor apa rudal nyasar
@FaseAkhirzaman-v7d,Assalamu'alaikum... Hati2 mungkin itu tanda2 dari allah akan terjadi bencana!,assalamualaikum hati2 mungkin itu tanda2 dari allah akan terjadi bencana
@samsulmuin716,"Pantes aj..lg santai didepok ada suara ."" dut..""
Rupanya di Cirebon..😂",pantes ajlg santai didepok ada suara dut rupanya di cirebon
@populertrend5203,itu ufo... datang kebumi. terlalu cepat pesawat...mirip meteor ..,itu ufo datang kebumi terlalu cepat pesawatmirip meteor
@Rendy-d9f,Gk mgkin meteor meledak dg getaran berkilo meter,gk mgkin meteor meledak dg getaran berkilo meter
@rahmatefendi1329,"Mantap, meteor jatuh di Indonesia❤, bravo💪",mantap meteor jatuh di indonesia bravo
@Rendy-d9f,Itu rudal cek aja material yg jatuh,itu rudal cek aja material yg jatuh
@nazriel7478,Kenapa gak jatuh di rumah Sahara 😂,kenapa gak jatuh di rumah sahara
@dyoz2194,Itu rudal antar benua ehh ngeri yaaa,itu rudal antar benua ehh ngeri yaaa
@Incargaming,Awas decepticon turun,awas decepticon turun
@PamelaPutri-h6f,Di brebes juga sangat keras seperti rudal meledak,di brebes juga sangat keras seperti rudal meledak
@Sodikin-r8r,kami warga Brebes jatirokeh mendengar dentuman mengema,kami warga brebes jatirokeh mendengar dentuman mengema
@brinos810,Pasti diambil aparat😂😂,pasti diambil aparat
@ArkanAfifah,Aku tadi malam ngeliat pas meteor jatuh,aku tadi malam ngeliat pas meteor jatuh
@higher_company,Besok libur sekolah ?,besok libur sekolah
@Prikitiuw007,Gerombolan To LoL emang bisa apa😂😂😂,gerombolan to lol emang bisa apa
@ForexmaniaAcademy,"Alhamdulillah, berarti akan ada Superman di Indonesia untuk membantu penegakan hukum. Karena polisi selalu terlambat😅",alhamdulillah berarti akan ada superman di indonesia untuk membantu penegakan hukum karena polisi selalu terlambat
@eiwansinting4598,Bgs itu klo menemukanx,bgs itu klo menemukanx
@magetanmadiun7661,Tolong di cek lgi para peniliti..takutnya bukan meteor tapi rudal .,tolong di cek lgi para penilititakutnya bukan meteor tapi rudal
@SaidahSidik,"Di tempat saya Jatibarang Brebes aja kedengaran, saya pikir bunyi gluduk.",di tempat saya jatibarang brebes aja kedengaran saya pikir bunyi gluduk
@dwiantosyaiful8011,Rudal apa meteor hayo 😂,rudal apa meteor hayo
@AwanSetiyawan-w7d8u,Dijadikan batu akik mantap,dijadikan batu akik mantap
@fauzi272,Ujicoba senjata cina di Kalimantan jangan2 tuh,ujicoba senjata cina di kalimantan jangan2 tuh
@azriwan5556,Bole bt jimat kata  bang ujg cribon sma  bang din jwa timur😂,bole bt jimat kata bang ujg cribon sma bang din jwa timur
@DuniaMisteri-c4p,Satria pempingit telah hadir,satria pempingit telah hadir
@genturruhiansyah8183,bjir ada kamehame,bjir ada kamehame
@JastimChas-r9x,"Benar...
gua kira itu suara guntur. 

Salam dari brebes.",benar gua kira itu suara guntur salam dari brebes
@marjonokaliprak,JANGAN JANGAN IROM DONT PUNYA ISROWEL. 😮,jangan jangan irom dont punya isrowel
@ERUCOKRO-c7x,"Azab untuk para Koruptor  dan Para  LGBT  di masa depan, masih  lama..... Itu meteor  kloter😃terdepan..... Ha... Ha.. Ha... Ha....",azab untuk para koruptor dan para lgbt di masa depan masih lama itu meteor kloterterdepan ha ha ha ha
@smokedbeaf,rudal iran itu...,rudal iran itu
@Aan-f2p,Kode apa ini meteor jatuh,kode apa ini meteor jatuh
@ariesugianto5285,Itu bola dragon ball jatuh...,itu bola dragon ball jatuh
@SabilZzmm,Venom,venom
@noviantomarfani8086,Itu roket,itu roket
@SuhartoHarto-o1r,Sudah mau kiamat.iman mati semakin banyak .,sudah mau kiamatiman mati semakin banyak
@ahdisuryadi-rq7rz,Ia bener saya ngerasa ada denduman besar seperti gempa di wilayah Cirebon,ia bener saya ngerasa ada denduman besar seperti gempa di wilayah cirebon
@aksaalwi9836,OPTIMUS PRIME,optimus prime
@mistermaster1945,clark kent abis mudik ke planet krypton,clark kent abis mudik ke planet krypton
@SidirobbyRay,Meteor virus korona terbaru dari na too,meteor virus korona terbaru dari na too
@rion_alberion,lagi musim meteor,lagi musim meteor
@mnur6269,"trus kmn arhanud,bgmn kesiapan pengamanan..
belanja ratusan trilyun cm melongo da meteor ga ada reaksi..",trus kmn arhanudbgmn kesiapan pengamanan belanja ratusan trilyun cm melongo da meteor ga ada reaksi
@Katasedip,Saya di Cirebon mendengar suara itu. Suaranya mirip petir tapi agak aneh,saya di cirebon mendengar suara itu suaranya mirip petir tapi agak aneh
@styl_ただ,"Gede itu batunya ,  cariii yuk😂😂",gede itu batunya cariii yuk
@daniilkudanill,Asyik itu di buat bahan batu cincin,asyik itu di buat bahan batu cincin
@hartonojonas9803,Dino pun punah tamat,dino pun punah tamat
@waluyo7793,Kalau benar itu meteor pasti terjadi gempa.,kalau benar itu meteor pasti terjadi gempa
@esseesse2843,Waspada dgn tanda tsb akan terjadi perang saudara,waspada dgn tanda tsb akan terjadi perang saudara
@dharuMul,Rudal nyasar itu😂,rudal nyasar itu
@Trayagain97,Itu tanda indonesia mau bubar 2030,itu tanda indonesia mau bubar 2030
@iwanwirawan544,Terlihat dari Purbalingga,terlihat dari purbalingga
@KucayAspal,Harga batu meteor mahal.. Jadi batu aki,harga batu meteor mahal jadi batu aki
@odingone,Itu termul yang lagi migrasi 🤣,itu termul yang lagi migrasi
@SaefullohAsep-e5x,"Kalo jatuh nya di laut, pasti ada stunami dong,,,,",kalo jatuh nya di laut pasti ada stunami dong
@zakiamd9082,Ujicoba rudal itu bukan meteor,ujicoba rudal itu bukan meteor
@camellia-m8z8g,TAKBIR,takbir
@Begal_Fishing,Boom Israel itu😆,boom israel itu
@edwinmarthin8661,Itu rudal israel mencoba jankaun kejauhan antar benua...😂,itu rudal israel mencoba jankaun kejauhan antar benua
@apriliantoakbar4653,itu bukan meteor tp dr Amerika karna sekarang sentinisme sama Indonesia soal-nya Indonesia ini ikut BRICS 💀,itu bukan meteor tp dr amerika karna sekarang sentinisme sama indonesia soalnya indonesia ini ikut brics
@bb99-r7p,BRIN kerjanya apa sj. Selalu terlambat utk merespon dan lemot. Harusnya sblm ada benda2 aneh melintas atau minimal ada perkiraan akan ada meteor atau benda langit misterius atau apalah yg akan dijelaskan kpd masyarakat. BRIN seperti lembaga yg MAKAN GAJI BUTA,brin kerjanya apa sj selalu terlambat utk merespon dan lemot harusnya sblm ada benda2 aneh melintas atau minimal ada perkiraan akan ada meteor atau benda langit misterius atau apalah yg akan dijelaskan kpd masyarakat brin seperti lembaga yg makan gaji buta
@agusmulyadi5446,"aku ingin ke Cirebon segera,, dan mengambil serpihan batu meteor untuk di jadikan benda pusaka.. dengan kekuatan batu meteor hancurkan pejabat laknat terkutuk antek antek si Jokowi laknat terkutuk.. penyengsara rakyat yg memperkaya diri mereka sendiri",aku ingin ke cirebon segera dan mengambil serpihan batu meteor untuk di jadikan benda pusaka dengan kekuatan batu meteor hancurkan pejabat laknat terkutuk antek antek si jokowi laknat terkutuk penyengsara rakyat yg memperkaya diri mereka sendiri
@BasukiAbdullah-w9z,"Brebes tanjung sengon terdengar jelas, setengah 7 malem abis magrib",brebes tanjung sengon terdengar jelas setengah 7 malem abis magrib
@baladewa2baladewa537,Ufo ...mau jemput para koroptor😂😂😂😂,ufo mau jemput para koroptor
@antogrungetank8838,"Optimus prime datang , siap kan diri kalian untuk menyerang the cepticon 😂",optimus prime datang siap kan diri kalian untuk menyerang the cepticon
@ElisabetSimorangkir-c3k,Itu serpihan bukan yg terbelah akibat jutsu dari tenseigan toneri saat naruto menyelamatkan hinata,itu serpihan bukan yg terbelah akibat jutsu dari tenseigan toneri saat naruto menyelamatkan hinata
@AndiniNurwulandari-be5un,Fix rudalll bukan meteor,fix rudalll bukan meteor
@duniaitumenipu6533,Itu son go ku pulang dr planet namex,itu son go ku pulang dr planet namex
@ChandraEdmanzie-ic9ei,Calon batu mahal tuh ....,calon batu mahal tuh
@SenjaSatria,Itu perang antar dukun,itu perang antar dukun
@JauhariiJ,"Mahal.itu batu nya 
Harga ber M",mahalitu batu nya harga ber m
@abuelrumi,"rudal itu,gak mungkin meteor klo meteor lgsg hbs di udara gak mungkin meledak",rudal itugak mungkin meteor klo meteor lgsg hbs di udara gak mungkin meledak
@SUSWITOservis,nnti percobaan ada serangan  masuk dri luar ke indo katanya meteor,nnti percobaan ada serangan masuk dri luar ke indo katanya meteor
@Elfathan-t9b,Otw kesana... Mau cari pecahan nya.... Katanya kok maahal,otw kesana mau cari pecahan nya katanya kok maahal
@games-fd9wc,Mada Kono Sekai Wa (まだ　この　せかい　は）,mada kono sekai wa
@zelandpratama.u,positif aja itu rudal balistik Iran  yg sdng di coba,positif aja itu rudal balistik iran yg sdng di coba
@Junedgarage,Mada kono sekai wa,mada kono sekai wa
@yennychaterine8821,superman,superman
@hirendrakusuma4437,Vegeta sampai k konoha,vegeta sampai k konoha
@T3903H-c3g,klo jatuhnya ke rumah raja jawwa mantav tuhhh😮 😂😂,klo jatuhnya ke rumah raja jawwa mantav tuhhh
@darmatv9351,"Ingat.....menurut pendpt kitab² kuno Aceh klw memang betul itu meteor jatuh akan terjadi sebuah hal yg sgt besar dinegeri ini,pa hal yg terjadi.....klw kata org tua² Aceh itu komet berekor klw sdh nmpak komet berekor akan terjadi matinya pemimpin ataupun bergantinya pemimpin.Wallahua""lam Allah yg maha tau.",ingatmenurut pendpt kitab kuno aceh klw memang betul itu meteor jatuh akan terjadi sebuah hal yg sgt besar dinegeri inipa hal yg terjadiklw kata org tua aceh itu komet berekor klw sdh nmpak komet berekor akan terjadi matinya pemimpin ataupun bergantinya pemimpinwallahualam allah yg maha tau
@achmadadica,"Persiapkan diri kawan, kiamat sudah dekat, Itu masih 1 meteor, setelah ini ratusan juta meteor jatuh di bumi. 
Yg masih sering joget2 di tiktok , yg masih bugil di tiktok, segera tobat.",persiapkan diri kawan kiamat sudah dekat itu masih 1 meteor setelah ini ratusan juta meteor jatuh di bumi yg masih sering joget2 di tiktok yg masih bugil di tiktok segera tobat
@ToLib-n5x,cari Wei mahal itu batu meteor tendung bawuk,cari wei mahal itu batu meteor tendung bawuk
@AfanFanani-u1u,Wih rudal dari malaysia itu...,wih rudal dari malaysia itu
@FARDANIZLALFAHREZI,Ya pantes lur panase kaya kiye men,ya pantes lur panase kaya kiye men
@hunting-777,Roket israel itu..,roket israel itu
@MuhammadShobirin-r3z,Menurutku sih rudal,menurutku sih rudal
@RONIWIJAYABANG,Tapi bukan rudal Israel kan,tapi bukan rudal israel kan
@lalijiwo6817,Rudal xi jinping....🫢,rudal xi jinping
@Mr-HiJacket-,"Mana penganut bumi datar? Mereka bisa jelasin ga? Kalo ada kubah trus kenapa ada meteor jatuh? Kenapa ada asteroid? Kan katanya gabisa ditembus, mohon otaknya dipanasin lagi",mana penganut bumi datar mereka bisa jelasin ga kalo ada kubah trus kenapa ada meteor jatuh kenapa ada asteroid kan katanya gabisa ditembus mohon otaknya dipanasin lagi
@SindoroMusikJadul,"Bisa kaya bila menemukan batu meteor, bisa untuk pelarisan dagang kata nenek",bisa kaya bila menemukan batu meteor bisa untuk pelarisan dagang kata nenek
@Whatever-tt9zc,Hampir seluruh Pantura Jawa Tengah dan sebagian Jawa barat semalam terdengar dentuman setidaknya 3-4 x disertai gemuruh seperti gludug,hampir seluruh pantura jawa tengah dan sebagian jawa barat semalam terdengar dentuman setidaknya 34 x disertai gemuruh seperti gludug
@lisrijkschroeff8675,Heboh amat itu sih biasa saja bl0h,heboh amat itu sih biasa saja bl0h
@AndreJulianF,Ya Allah inikah tanda tanda akhir zaman,ya allah inikah tanda tanda akhir zaman
@indramayucangkring,gua liat ngeri bet,gua liat ngeri bet
@RayhanAja-l8w,Batu mahal 😅,batu mahal
@CiprutKriukkriuk,"Bmkg kocak gunanya apa 
Klo itu bneran meteor jatuh d wil Indonesia daratan hancur smua tanpa antisipasi 
Seenggaknya kan ada lah prediksi
Badan meteorologi loh 😂😂 ga guna di gaji pula 
Ramal cuaca pun suka telat udah hujan baru bilang hujan
Sekolahnya dlu ngapain boss boss badan meteorologi 
Klo bkn wewenang ganti ajah namanya jgn badan meteorologi 
Tapi badan prediksi cuaca 40%😂😂",bmkg kocak gunanya apa klo itu bneran meteor jatuh d wil indonesia daratan hancur smua tanpa antisipasi seenggaknya kan ada lah prediksi badan meteorologi loh ga guna di gaji pula ramal cuaca pun suka telat udah hujan baru bilang hujan sekolahnya dlu ngapain boss boss badan meteorologi klo bkn wewenang ganti ajah namanya jgn badan meteorologi tapi badan prediksi cuaca 40
@kolorpower,"The real METEOR GARDEN
Meteor jatuh ke kebon 😂😂😂",the real meteor garden meteor jatuh ke kebon
@irfanaditya1630,Hoax isu meteor jatuh dicirebon.Karena semua daerah dijateng juga melihat cahaya dilangit jawa.,hoax isu meteor jatuh dicirebonkarena semua daerah dijateng juga melihat cahaya dilangit jawa
@mazadam8085,jangan2 rudal😂,jangan2 rudal
@struggle123able,Maaf itu thanos,maaf itu thanos
@anggajatiarfiansyah9565,"setahu saya meteor ketika terkikis di atmosfer ga sampe meledak gitu. Ini mah masa dari Brebes saja masih terdengar, sedangkan jatuhnya di laut Jawa Cirebon berati radius suaranya sampe 50 km lebih.",setahu saya meteor ketika terkikis di atmosfer ga sampe meledak gitu ini mah masa dari brebes saja masih terdengar sedangkan jatuhnya di laut jawa cirebon berati radius suaranya sampe 50 km lebih
@AbdullahSamidin,Sangat mengkontollkan sekali,sangat mengkontollkan sekali
@FIRMAN_EKA,Itu Rudal Balistik 😂😂,itu rudal balistik
@LukmanNurhakim-n9w,Itu rudal.,itu rudal
@klempet3867,Yg nemuin jgn lp bayar pajak,yg nemuin jgn lp bayar pajak
@strombird3615,meteor itu hoax,meteor itu hoax
@pazoong,"Awas aj lu yg bilang ini magic atau santet,😂",awas aj lu yg bilang ini magic atau santet
@AnaRach-g8w,Israel nge test rudal baru ternyata sampai jg ke Indo😂,israel nge test rudal baru ternyata sampai jg ke indo
@tetenrohendi1403,Meteor garden,meteor garden
@neophyteofficial915,Hoax. Itu hanya melintas. Baca berita dunia.,hoax itu hanya melintas baca berita dunia
@jamurrambat9186,"Wah berarti bener,semalam saya liat tuh,posisina di Tegal gubug,itu mujur orang yg Nemu nya,bisa jadi jutawan",wah berarti benersemalam saya liat tuhposisina di tegal gubugitu mujur orang yg nemu nyabisa jadi jutawan
@ademaesaroh2021,Mirip rudal,mirip rudal
@chitatofc,Salah jatuhnya,salah jatuhnya
@aditzoti,Banaspati terbang ke Israel 😮,banaspati terbang ke israel
@meliyani1019,Smoga jatuh lg yg ke 2 ke israhell aamiin,smoga jatuh lg yg ke 2 ke israhell aamiin
@OKEDEHHHHH,😂😂hhhh,hhhh
@OKEDEHHHHH,itu pasti serangan isriwil,itu pasti serangan isriwil
@putunadi5608,"Smoga masyarakatnya Cirebon smua baik"" saja Amin.... 🤲🤲🤲",smoga masyarakatnya cirebon smua baik saja amin
@anisyasjmine,"Di Jogja suamiku denger, kok aku ngga yah 😅",di jogja suamiku denger kok aku ngga yah
@titianwa0424,Subanallah walhamdulillah walailahailallah Allahu Akbar,subanallah walhamdulillah walailahailallah allahu akbar
@akuchannel21,Kemarin sore habis magrib lihat dari temanggung dari arah barat,kemarin sore habis magrib lihat dari temanggung dari arah barat
@Nangnengningnung,"Jatuhnya di IKN pasti lebih bermakna dan berhikmah. Ayo Termul mbacotlah, bos kalian 'bersembunyi di belahan bokong' Presiden Prabowo lho😂",jatuhnya di ikn pasti lebih bermakna dan berhikmah ayo termul mbacotlah bos kalian bersembunyi di belahan bokong presiden prabowo lho
@RusdySoepardi-t5x,tangsel saja bintaro masih kedengaran dentumannya kerasssssss,tangsel saja bintaro masih kedengaran dentumannya kerasssssss
@uyunardi7133,meteor apa santet🤣🤣,meteor apa santet
@dzubairelmusa2366,Jatuhnya Outsotsuki kaguya,jatuhnya outsotsuki kaguya
@TheOffizier,Make a wish with it,make a wish with it
@humanerror1342,GITU   ADJA  KOK REPOOOT ......!! ....HARUS NYA  DI SUYUKURI ...,gitu adja kok repooot harus nya di suyukuri
@axlaquos9760,"Potret lemah nya tehnlogi antariksa dan pertahanan Konoha....?
Kog tidak ada deteksi dini....? ckckck
Gimana radar ?",potret lemah nya tehnlogi antariksa dan pertahanan konoha kog tidak ada deteksi dini ckckck gimana radar
@dana.q2447,Coba jatuh di gedung kubah hijau... 🤔Terus momennya pas lg asyik joget joget lagi...,coba jatuh di gedung kubah hijau terus momennya pas lg asyik joget joget lagi
@ekapermana3397,Kuyang itu 😂😂😂😂😂😂😂,kuyang itu
@SuprioSuprio-p8o,Rudal Israel.,rudal israel
@NurhayatiLilis-zn2nb,"Ingatlah ayat surat AD DUHKON dan hadits dukhon yg mengatakan kita harus waspada dg dentuman di langit yg akan membawa asap yg sangat pedih yg merupakan azab utk manusia.
Saat ini katanya orang barat, ada komet sangat besar 3I atlas yg berkecepatan tinggi sedang berada di tata surya kita dan sudah melewati planet mars. Hanya saja komet ini pecah menjadi beberapa bagian dan mereka mengkhawatirkan pecahannya ini akan masuk ke atmosfir bumi. Dan ketika mateor ini masuk k atmosfer bumi maka akan menimbulkan ledakan kuat",ingatlah ayat surat ad duhkon dan hadits dukhon yg mengatakan kita harus waspada dg dentuman di langit yg akan membawa asap yg sangat pedih yg merupakan azab utk manusia saat ini katanya orang barat ada komet sangat besar 3i atlas yg berkecepatan tinggi sedang berada di tata surya kita dan sudah melewati planet mars hanya saja komet ini pecah menjadi beberapa bagian dan mereka mengkhawatirkan pecahannya ini akan masuk ke atmosfir bumi dan ketika mateor ini masuk k atmosfer bumi maka akan menimbulkan ledakan kuat
@ariantobudiprasetyo7873,Banaspati,banaspati
@Kekasihkumenunggu,Sebuah pertanda  awal.,sebuah pertanda awal
@IrvanIrvan-u6k,😂😂 itu rudal indonesia..buat ngerudal malaydesh🇲🇾🇲🇾😂😂🤣,itu rudal indonesiabuat ngerudal malaydesh
@Sendiri-m6j,Pantesan malam kedengeran di kira suara petir jelas banget dengernya,pantesan malam kedengeran di kira suara petir jelas banget dengernya
@CahayaDiri-p5u,Subhanallah. Kalau jatuh di Gedung DPR lg rapat jadi Alhamdulillah,subhanallah kalau jatuh di gedung dpr lg rapat jadi alhamdulillah
@PranotoSuyitno,Itu Lo diambil batunya bisa jdi batu hajar Aswad jdi ga sah kemekah lg,itu lo diambil batunya bisa jdi batu hajar aswad jdi ga sah kemekah lg
@amridenial3775,Pertanda alam apa yg akan terjadi,pertanda alam apa yg akan terjadi
@aichlah_1826,Turunkan Nabi Isa 🙌,turunkan nabi isa
@mohkharisf5796,Jatuh nya kok gak di dpr😂😂😂😂,jatuh nya kok gak di dpr
@akbarpermana9157,Rudal israel nyelonong,rudal israel nyelonong
@KadriKadri-c9q,"Sayang sekali gak jatuh di gedung DPR, coba kalo jatuhnya di gedung DPR pasti rakyat akan sangat senang sekali.",sayang sekali gak jatuh di gedung dpr coba kalo jatuhnya di gedung dpr pasti rakyat akan sangat senang sekali
@ERUCOKRO-c7x,Tanda Ad Dukhon  sudah menuju  jalur galaxy Bima Sakti. Itu  peringatan dari Allah.,tanda ad dukhon sudah menuju jalur galaxy bima sakti itu peringatan dari allah
@ruwisoiso,"kalau di atas china,meteor itu sdh di tembak jatuh",kalau di atas chinameteor itu sdh di tembak jatuh
@HilmanOfficial13,Jangan² Thor turun diasingkan ke bumi sama Odin 😅😅😅,jangan thor turun diasingkan ke bumi sama odin
@ilhamsyadhali4590,Menurutku sih itu meteor,menurutku sih itu meteor
@dedenhendra5584,"Disini juga, tp setelah diamati ternyata petromak nyangkut di kalong",disini juga tp setelah diamati ternyata petromak nyangkut di kalong
@arshandaashima3566,Hati hati bukan meteor takutnya israel menyerang,hati hati bukan meteor takutnya israel menyerang
@DaniAchmad-e2i,Tanda tanda dukhon akan datang,tanda tanda dukhon akan datang
@Ruudharyy,Buset di Cirebon suara ledakanya terdengar sampai Tegal 🥶,buset di cirebon suara ledakanya terdengar sampai tegal
@playofcepot5108,"Diduga meteor, tau taunya rudal siriwil wkwk",diduga meteor tau taunya rudal siriwil wkwk
@BARLIOaya,Baru meteor begini aja heboh kan gimana perang rudal antar negara? Jadi masih mau negara Konoha ini bener bener perang rudal,baru meteor begini aja heboh kan gimana perang rudal antar negara jadi masih mau negara konoha ini bener bener perang rudal
@Aditya-j7d,"Kujang terbang bukan meteor.
Hehehe",kujang terbang bukan meteor hehehe
@ferijohn4960,"Menurutku bukan meteor, melainkan benda seperti roket/satelit/semacamnya yg jatuh ke indo",menurutku bukan meteor melainkan benda seperti roketsatelitsemacamnya yg jatuh ke indo
@OndeOnde53,Mirip rudal,mirip rudal
@muhamadnasifudin994,Banaspati,banaspati
@Chiangko-q6p,Harganya mahal,harganya mahal
@cecepsupriadi2959,"Assalamu'alaikum mohon maaf BUMI KITA UDAH TUA KITA SEMUA BANYAK IN DO'A AJA.. 

WAKTU-waktu dunia ini akan berakhir (KIAMAT).. 

😢😢😢

SOAL BANYAK ORANG JAHAT DAN ZOLIM DAN HAUS NAFSU MANUSIA SEMAKIN GILA... 

HUTAN dan hewan hampir punah POTONG-POTONG SAMPAI BOTAK. 

LAUTAN BETON BUAT GEDUNG DAN APARTEMEN. 

MANUSIA SERAKAH 😡😡😡",assalamualaikum mohon maaf bumi kita udah tua kita semua banyak in doa aja waktuwaktu dunia ini akan berakhir kiamat soal banyak orang jahat dan zolim dan haus nafsu manusia semakin gila hutan dan hewan hampir punah potongpotong sampai botak lautan beton buat gedung dan apartemen manusia serakah
@MasIwanPrasetyo,Satelit Amerika jatuh ... Karena BBM nya oplosan beli di Pertamina ... Mogok trus jatuh ... 😂😂😂,satelit amerika jatuh karena bbm nya oplosan beli di pertamina mogok trus jatuh
@slametngatino2474,Terdengar sampai Nepal,terdengar sampai nepal
@slametngatino2474,Cari batunnya itu laku banyak kalau nyampai 5 ton😂😂😂,cari batunnya itu laku banyak kalau nyampai 5 ton
@FitLife_Tutorial,Kiamat sudah dekat,kiamat sudah dekat
@exusec,Freeza,freeza
@nauticalmileloft6463,Setelah denger jatuh dilaut jawa penonton kecewa😂😂😂,setelah denger jatuh dilaut jawa penonton kecewa
@supardi8789,Itu mah rudal Iran nyasar,itu mah rudal iran nyasar
